kanji	yomi
困窮者	こんきゅうしゃ
困難	こんなん
図	ず
固定	こてい
国	くに
国民	こくみん
国際	こくさい
国際生活機能分類	こくさいせいかつきのうぶんるい
土足	どそく
圧迫	あっぱく
在宅	ざいたく
在宅復帰	ざいたくふっき
在宅酸素療法中	ざいたくさんそりょうほうちゅう
地域	ちいき
地域包括支援	ちいきほうかつしえん
地域密着型	ちいきみっちゃくがた
地域支援事業	ちいきしえんじぎょう
地域生活支援事業	ちいきせいかつしえんじぎょう
地方	ちほう
坐薬	ざやく
垂直	すいちょく
型	かた
型介護老人福祉施設	がたかいごろうじんふくししせつ
型認知症	がたにんちしょう
埃	ほこり
基	もと
基幹	きかん
基底層	きていそう
基本	きほん
基本調味料	きほんちょうみりょう
基準	きじゅん
基盤	きばん
報告	ほうこく
場	ば
場合	ばあい
場所	ばしょ
場面	ばめん
塩	しお
塩分	えんぶん
塵	ちり
増	まし
増え	ふえ
増幅	ぞうふく
増額	ぞうがく
壁側	かべがわ
士	し
声	こえ
変動	へんどう
変化	へんか
変性	へんせい
変更	へんこう
夏	なつ
夕方	ゆうがた
夕食	ゆうしょく
夕食後	ゆうしょくご
外	がい
外出	がいしゅつ
外界	がいかい
外罰	がいばつ
外耳道	がいじどう
外鼻孔	がいびこう
多	おお
多い	おおい
多少	たしょう
多機能型	たきのうがた
多点杖	たてんじょう
夜中	よなか
夜眠	よるねむり
夜間	やかん
夜間対応型訪問介護	やかんたいおうがたほうもんかいご
大	おおきい
大事	だいじ
大切	たいせつ
大声	おおごえ
大好	だいすき
大正琴	たいしょうごと
大脳	だいのう
大臀筋	だいでんきん
大部分	だいぶぶん
太	ふと
太陽	たいよう
夫	おっと
失禁	しっきん
失語	しつご
契約	けいやく
奥	おく
女性	じょせい
好	すき
妄	もう
妄想	もうそう
妻	つま
始	はじ
姿勢	しせい
娘	むすめ
嫌	いや
子	こ
子育	こそだて
存在	そんざい
学校	がっこう
学生	がくせい
学童期	がくどうき
宅	たく
守	まもり
安全	あんぜん
安心	あんしん
安楽椅子	あんらくいす
安眠	あんみん
安静時振戦	あんせいじしんせん
宗教	しゅうきょう
定	さだ
定め	さだめ
定期巡回	ていきじゅんかい
定期的	ていきてき
定着	ていちゃく
定義	ていぎ
実施	じっし
実施中	じっしちゅう
実施主体	じっししゅたい
実施後	じっしご
実施者	じっししゃ
実現	じつげん
実習	じっしゅう
実習指導者	じっしゅうしどうしゃ
実習生	じっしゅうせい
実行	じっこう
客	きゃく
客観的事実	きゃっかんてきじじつ
室内	しつない
家	いえ
家事	かじ
家具	かぐ
家庭	かてい
家庭菜園	かていさいえん
家族	かぞく
家族介護者	かぞくかいごしゃ
宿泊	しゅくはく
寂	さびしい
密封	みっぷう
密着	みっちゃく
寝	ね
寝室	しんしつ
寝起	ねおき
対	たい
対し	たいし
対光反射消失	たいこうはんしゃしょうしつ
対処	たいしょ
対応	たいおう
