kanji	yomi
基本的	きほんてき
基本調味料	きほんちょうみりょう
基準	きじゅん
基盤	きばん
報告	ほうこく
場	ば
場合	ばあい
場所	ばしょ
場面	ばめん
塗布	とふ
塩	しお
塩分	えんぶん
塩素系薬剤	えんそけいやくざい
塵	ちり
増	まし
増え	ふえ
増加	ぞうか
増幅	ぞうふく
増額	ぞうがく
壁側	かべがわ
壁紙	かべがみ
壊	こわ
士	し
声	こえ
変	へん
変動	へんどう
変化	へんか
変性	へんせい
変更	へんこう
夏	なつ
夕方	ゆうがた
夕食	ゆうしょく
夕食後	ゆうしょくご
外	がい
外出	がいしゅつ
外出機会	がいしゅつきかい
外界	がいかい
外罰	がいばつ
外耳道	がいじどう
外鼻孔	がいびこう
多	おお
多い	おおい
多少	たしょう
多機能型	たきのうがた
多点杖	たてんじょう
多職種	たしょくしゅ
夜	よる
夜中	よなか
夜勤	やきん
夜眠	よるねむり
夜間	やかん
夜間対応型訪問介護	やかんたいおうがたほうもんかいご
夜食	やしょく
夢	ゆめ
大	おおきい
大丈夫	だいじょうぶ
大事	だいじ
大切	たいせつ
大声	おおごえ
大好	だいすき
大小	だいしょう
大正琴	たいしょうごと
大殿筋	だいでんきん
大脳	だいのう
大腿四頭筋	だいたいしとうきん
大臀筋	だいでんきん
大部分	だいぶぶん
大静脈	だいじょうみゃく
太	ふと
太陽	たいよう
夫	おっと
失禁	しっきん
失語	しつご
契機	けいき
契約	けいやく
奥	おく
女性	じょせい
好	すき
妄	もう
妄想	もうそう
妥当	だとう
妻	つま
姉	あね
始	はじ
委員会	いいんかい
委託	いたく
姻族	いんぞく
姿	すがた
姿勢	しせい
娘	むすめ
婚姻歴	こんいんれき
嫉妬妄想	しっともうそう
嫌	いや
子	こ
子育	こそだて
存在	そんざい
学	まな
学校	がっこう
学生	がくせい
学童期	がくどうき
孫	まご
宅	たく
守	まもり
守秘義務違反	しゅひぎむいはん
安	やす
安全	あんぜん
安全対策担当者	あんぜんたいさくたんとうしゃ
安全欲求	あんぜんよくきゅう
安定	あんてい
安心	あんしん
安楽椅子	あんらくいす
安眠	あんみん
安静	あんせい
安静時振戦	あんせいじしんせん
宗教	しゅうきょう
定	さだ
定め	さだめ
定期巡回	ていきじゅんかい
定期的	ていきてき
定着	ていちゃく
定義	ていぎ
実	じつ
実態	じったい
実施	じっし
実施中	じっしちゅう
実施主体	じっししゅたい
実施後	じっしご
実施者	じっししゃ
実現	じつげん
実習	じっしゅう
実習指導者	じっしゅうしどうしゃ
実習生	じっしゅうせい
実行	じっこう
実践	じっせん
実践状況	じっせんじょうきょう
実践経験	じっせんけいけん
客	きゃく
